----------------------------------------------
fp32-fp32-batch1_deit_small_distilled_patch16_224
----------------------------------------------
Processing 93 / 50000 : Top-1 82.8% , Top-5: 96.8%     
Processing 94 / 50000 : Top-1 83.0% , Top-5: 96.8%     
Processing 95 / 50000 : Top-1 83.2% , Top-5: 96.8%     
Processing 96 / 50000 : Top-1 83.3% , Top-5: 96.9%     
Processing 97 / 50000 : Top-1 83.5% , Top-5: 96.9%     
Processing 98 / 50000 : Top-1 83.7% , Top-5: 96.9%     
Processing 99 / 50000 : Top-1 83.8% , Top-5: 97.0%     
Processing 100 / 50000 : Top-1 84.0% , Top-5: 97.0%     
Processing 101 / 50000 : Top-1 84.2% , Top-5: 97.0%     
Processing 102 / 50000 : Top-1 84.3% , Top-5: 97.1%     
Processing 103 / 50000 : Top-1 84.5% , Top-5: 97.1%     
Processing 104 / 50000 : Top-1 84.6% , Top-5: 97.1%     
Processing 105 / 50000 : Top-1 84.8% , Top-5: 97.1%     
Processing 106 / 50000 : Top-1 84.9% , Top-5: 97.2%     
Processing 107 / 50000 : Top-1 85.0% , Top-5: 97.2%     
Processing 108 / 50000 : Top-1 85.2% , Top-5: 97.2%     
Processing 109 / 50000 : Top-1 85.3% , Top-5: 97.2%     
Processing 110 / 50000 : Top-1 85.5% , Top-5: 97.3%     
Processing 111 / 50000 : Top-1 85.6% , Top-5: 97.3%     
Processing 112 / 50000 : Top-1 85.7% , Top-5: 97.3%     
Processing 113 / 50000 : Top-1 85.8% , Top-5: 97.3%     
Processing 114 / 50000 : Top-1 86.0% , Top-5: 97.4%     
Processing 115 / 50000 : Top-1 86.1% , Top-5: 97.4%     
Processing 116 / 50000 : Top-1 86.2% , Top-5: 97.4%     
Processing 117 / 50000 : Top-1 86.3% , Top-5: 97.4%     
Processing 118 / 50000 : Top-1 85.6% , Top-5: 96.6%     
Processing 119 / 50000 : Top-1 84.9% , Top-5: 96.6%     
Processing 120 / 50000 : Top-1 85.0% , Top-5: 96.7%     
Processing 121 / 50000 : Top-1 84.3% , Top-5: 96.7%     
Processing 122 / 50000 : Top-1 84.4% , Top-5: 96.7%     
Processing 123 / 50000 : Top-1 84.6% , Top-5: 96.7%     
Processing 124 / 50000 : Top-1 83.9% , Top-5: 96.8%     
Processing 125 / 50000 : Top-1 84.0% , Top-5: 96.8%     
Processing 126 / 50000 : Top-1 84.1% , Top-5: 96.8%     
Processing 127 / 50000 : Top-1 84.3% , Top-5: 96.9%     
Processing 128 / 50000 : Top-1 83.6% , Top-5: 96.9%     
Processing 129 / 50000 : Top-1 83.7% , Top-5: 96.9%     
Processing 130 / 50000 : Top-1 83.8% , Top-5: 96.9%     
Processing 131 / 50000 : Top-1 84.0% , Top-5: 96.9%     
Processing 132 / 50000 : Top-1 84.1% , Top-5: 97.0%     
Processing 133 / 50000 : Top-1 84.2% , Top-5: 97.0%     
Processing 134 / 50000 : Top-1 83.6% , Top-5: 97.0%     
Processing 135 / 50000 : Top-1 83.7% , Top-5: 97.0%     
Processing 136 / 50000 : Top-1 83.1% , Top-5: 96.3%     
Processing 137 / 50000 : Top-1 82.5% , Top-5: 96.4%     
Processing 138 / 50000 : Top-1 82.6% , Top-5: 96.4%     
Processing 139 / 50000 : Top-1 82.7% , Top-5: 96.4%     
Processing 140 / 50000 : Top-1 82.1% , Top-5: 96.4%     
Processing 141 / 50000 : Top-1 82.3% , Top-5: 96.5%     
Processing 142 / 50000 : Top-1 82.4% , Top-5: 96.5%     
Processing 143 / 50000 : Top-1 82.5% , Top-5: 96.5%     
Processing 144 / 50000 : Top-1 82.6% , Top-5: 96.5%     
